0.0000	5.6616	5.2878	5.0634	5.1130	5.0584	5.0636	5.0636	0.8369	5.4988	3.8998	5.0067	4.9928	5.6002	5.5298	5.3242
5.4832	0.0000	0.3543	0.7509	0.8166	1.1314	1.0802	1.0802	5.2493	0.8152	1.4721	0.9829	0.9678	0.4118	0.6408	0.5405
5.7974	0.3783	0.0000	0.5119	0.5622	0.8819	0.8178	0.8178	4.1052	1.0736	4.4442	0.8777	0.9500	0.6058	0.7854	0.5403
5.9242	0.6546	0.5119	0.0000	0.2349	0.4480	0.3670	0.3670	5.4323	1.0835	3.8107	1.1498	1.2226	0.8959	1.0276	0.6307
4.0127	0.7444	0.5622	0.2349	0.0000	0.3923	0.3315	0.3315	4.0097	2.8738	3.1292	1.0018	1.1100	0.9224	1.0211	2.8164
3.9345	0.9566	0.8819	0.4480	0.3923	0.0000	0.1178	0.1178	5.6999	1.3714	1.7532	4.3127	1.2616	1.1811	1.2896	4.3081
3.9369	0.9153	0.8178	0.3670	0.3315	0.1178	0.0000	0.0000	3.9666	1.3320	3.1830	1.2347	1.2747	1.1392	1.2471	0.8043
3.9369	0.9153	0.8178	0.3670	0.3315	0.1178	0.0000	0.0000	3.9666	1.3320	3.1830	1.2347	1.2747	1.1392	1.2471	0.8043
0.8369	5.1283	4.1107	5.0299	4.7992	5.5496	5.5771	5.5771	0.0000	5.3699	4.2396	4.8795	5.0403	5.0301	5.0319	5.0577
5.8853	0.8152	1.7289	1.8969	1.9110	2.1724	3.8446	3.8446	5.8453	0.0000	1.0650	1.0235	1.3106	0.8532	0.9832	1.0532
4.2612	1.3951	1.5545	2.7273	1.7889	3.0600	2.8568	2.8568	5.8627	1.0845	0.0000	0.5959	1.7043	1.2731	1.2552	1.1198
5.1118	0.8931	0.8145	1.1315	2.2742	2.3546	1.3360	1.3360	5.5503	1.0674	1.2869	0.0000	0.7247	0.7513	0.7781	0.8011
4.2569	0.9678	0.9614	1.2330	4.1141	1.3703	1.3721	1.3721	5.4480	1.3106	1.8889	0.6512	0.0000	0.8032	0.7557	1.0131
5.6592	0.4118	0.6978	1.1042	1.1370	1.4508	2.3910	2.3910	4.2838	0.8532	1.3556	0.8168	0.8032	0.0000	0.2787	0.4878
5.6142	0.6408	0.8513	1.2280	2.3439	4.3919	1.5079	1.5079	4.3317	0.9832	1.3600	0.8549	0.7557	0.2787	0.0000	4.1277
5.6550	0.5768	0.4992	4.2555	0.7744	1.0853	2.8168	2.8168	4.1419	0.9423	1.2004	0.8215	0.8871	0.4946	0.4902	0.0000
